 Tev(Myr)    type      Mo        Mt      log10(L)  log10(R) log10(Teff)  Mc        Menv              epoch      spin                                  
   25.8230    4.0000    9.8891    9.6023    4.2491    1.9871    3.8320    2.4860  1.0000E-10     -0.3205  1.4619E+01
   25.8512    4.0000    9.8891    9.5994    4.2542    1.9488    3.8524    2.4930  1.0000E-10     -0.3205  1.7008E+01
   25.8794    4.0000    9.8891    9.5966    4.2590    1.9139    3.8710    2.5001  1.0000E-10     -0.3205  1.9511E+01
   25.9075    4.0000    9.8891    9.5940    4.2635    1.8823    3.8880    2.5072  1.0000E-10     -0.3205  2.2081E+01
   25.9357    4.0000    9.8891    9.5915    4.2677    1.8539    3.9033    2.5142  1.0000E-10     -0.3205  2.4671E+01
   25.9639    4.0000    9.8891    9.5890    4.2717    1.8283    3.9170    2.5213  1.0000E-10     -0.3205  2.7228E+01
   25.9921    4.0000    9.8891    9.5867    4.2756    1.8056    3.9294    2.5284  1.0000E-10     -0.3205  2.9703E+01
   26.0202    4.0000    9.8891    9.5845    4.2793    1.7855    3.9404    2.5354  1.0000E-10     -0.3205  3.2051E+01
   26.0484    4.0000    9.8891    9.5823    4.2828    1.7678    3.9501    2.5425  1.0000E-10     -0.3205  3.4230E+01
   26.0766    4.0000    9.8891    9.5801    4.2862    1.7524    3.9586    2.5496  1.0000E-10     -0.3205  3.6208E+01
   26.1047    4.0000    9.8891    9.5780    4.2895    1.7392    3.9660    2.5566  1.0000E-10     -0.3205  3.7959E+01
   26.1329    4.0000    9.8891    9.5759    4.2926    1.7280    3.9724    2.5637  1.0000E-10     -0.3205  3.9467E+01
   26.1611    4.0000    9.8891    9.5739    4.2957    1.7186    3.9779    2.5708  1.0000E-10     -0.3205  4.0723E+01
   26.1893    4.0000    9.8891    9.5719    4.2987    1.7109    3.9825    2.5778  1.0000E-10     -0.3205  4.1728E+01
   26.2174    4.0000    9.8891    9.5698    4.3016    1.7047    3.9863    2.5849  1.0000E-10     -0.3205  4.2489E+01
   26.2456    4.0000    9.8891    9.5678    4.3044    1.6998    3.9895    2.5920  1.0000E-10     -0.3205  4.3022E+01
   26.2738    4.0000    9.8891    9.5658    4.3071    1.6960    3.9920    2.5990  1.0000E-10     -0.3205  4.3346E+01
   26.3019    4.0000    9.8891    9.5638    4.3098    1.6933    3.9941    2.6061  1.0000E-10     -0.3205  4.3484E+01
   26.3301    4.0000    9.8891    9.5618    4.3124    1.6915    3.9956    2.6131  1.0000E-10     -0.3205  4.3465E+01
   26.3583    4.0000    9.8891    9.5598    4.3150    1.6903    3.9968    2.6202  1.0000E-10     -0.3205  4.3317E+01
   26.3865    4.0000    9.8891    9.5577    4.3175    1.6897    3.9978    2.6273  1.0000E-10     -0.3205  4.3069E+01
   26.4146    4.0000    9.8891    9.5557    4.3199    1.6895    3.9985    2.6343  1.0000E-10     -0.3205  4.2753E+01
   26.4428    4.0000    9.8891    9.5536    4.3223    1.6895    3.9991    2.6414  1.0000E-10     -0.3205  4.2399E+01
   26.4710    4.0000    9.8891    9.5515    4.3246    1.6895    3.9997    2.6485  1.0000E-10     -0.3205  4.2032E+01
   26.4992    4.0000    9.8891    9.5494    4.3269    1.6897    4.0002    2.6555  1.0000E-10     -0.3205  4.1645E+01
   26.5273    4.0000    9.8891    9.5473    4.3292    1.6901    4.0005    2.6626  1.0000E-10     -0.3205  4.1211E+01
   26.5555    4.0000    9.8891    9.5452    4.3314    1.6910    4.0006    2.6697  1.0000E-10     -0.3205  4.0705E+01
   26.5837    4.0000    9.8891    9.5431    4.3336    1.6924    4.0005    2.6767  1.0000E-10     -0.3205  4.0100E+01
   26.6118    4.0000    9.8891    9.5409    4.3357    1.6946    3.9999    2.6838  1.0000E-10     -0.3205  3.9374E+01
   26.6400    4.0000    9.8891    9.5388    4.3378    1.6977    3.9989    2.6909  1.0000E-10     -0.3205  3.8508E+01
   26.6682    4.0000    9.8891    9.5366    4.3399    1.7019    3.9973    2.6979  1.0000E-10     -0.3205  3.7484E+01
   26.6964    4.0000    9.8891    9.5343    4.3419    1.7074    3.9951    2.7050  1.0000E-10     -0.3205  3.6290E+01
   26.7245    4.0000    9.8891    9.5321    4.3439    1.7142    3.9921    2.7121  1.0000E-10     -0.3205  3.4920E+01
   26.7527    4.0000    9.8891    9.5297    4.3459    1.7226    3.9884    2.7191  1.0000E-10     -0.3205  3.3371E+01
   26.7809    4.0000    9.8891    9.5274    4.3478    1.7327    3.9839    2.7262  1.0000E-10     -0.3205  3.1650E+01
   26.8091    4.0000    9.8891    9.5250    4.3498    1.7448    3.9783    2.7333  1.0000E-10     -0.3205  2.9767E+01
